//Y rotation	X' rotation	"Z"" rotation1"	Defocus1
//defocus = -10 + 0.0390625 * (ROW() - 3)			
0	0	0	-5.546875
0	0	0	-5.5078125
0	0	0	-5.46875
0	0	0	-5.4296875
0	0	0	-5.390625
0	0	0	-5.3515625
0	0	0	-5.3125
0	0	0	-5.2734375
0	0	0	-5.234375
0	0	0	-5.1953125
0	0	0	-5.15625
0	0	0	-5.1171875
0	0	0	-5.078125
0	0	0	-5.0390625
0	0	0	-5
0	0	0	-4.9609375
0	0	0	-4.921875
0	0	0	-4.8828125
0	0	0	-4.84375
0	0	0	-4.8046875
0	0	0	-4.765625
0	0	0	-4.7265625
0	0	0	-4.6875
0	0	0	-4.6484375
0	0	0	-4.609375
0	0	0	-4.5703125
0	0	0	-4.53125
0	0	0	-4.4921875
0	0	0	-4.453125
0	0	0	-4.4140625
0	0	0	-4.375
0	0	0	-4.3359375
0	0	0	-4.296875
0	0	0	-4.2578125
0	0	0	-4.21875
0	0	0	-4.1796875
0	0	0	-4.140625
0	0	0	-4.1015625
0	0	0	-4.0625
0	0	0	-4.0234375
0	0	0	-3.984375
0	0	0	-3.9453125
0	0	0	-3.90625
0	0	0	-3.8671875
0	0	0	-3.828125
0	0	0	-3.7890625
0	0	0	-3.75
0	0	0	-3.7109375
0	0	0	-3.671875
0	0	0	-3.6328125
0	0	0	-3.59375
0	0	0	-3.5546875
0	0	0	-3.515625
0	0	0	-3.4765625
0	0	0	-3.4375
0	0	0	-3.3984375
0	0	0	-3.359375
0	0	0	-3.3203125
0	0	0	-3.28125
0	0	0	-3.2421875
0	0	0	-3.203125
0	0	0	-3.1640625
0	0	0	-3.125
0	0	0	-3.0859375
0	0	0	-3.046875
0	0	0	-3.0078125
0	0	0	-2.96875
0	0	0	-2.9296875
0	0	0	-2.890625
0	0	0	-2.8515625
0	0	0	-2.8125
0	0	0	-2.7734375
0	0	0	-2.734375
0	0	0	-2.6953125
0	0	0	-2.65625
0	0	0	-2.6171875
0	0	0	-2.578125
0	0	0	-2.5390625
0	0	0	-2.5
0	0	0	-2.4609375
0	0	0	-2.421875
0	0	0	-2.3828125
0	0	0	-2.34375
0	0	0	-2.3046875
0	0	0	-2.265625
0	0	0	-2.2265625
0	0	0	-2.1875
0	0	0	-2.1484375
0	0	0	-2.109375
0	0	0	-2.0703125
0	0	0	-2.03125
0	0	0	-1.9921875
0	0	0	-1.953125
0	0	0	-1.9140625
0	0	0	-1.875
0	0	0	-1.8359375
0	0	0	-1.796875
0	0	0	-1.7578125
0	0	0	-1.71875
0	0	0	-1.6796875
0	0	0	-1.640625
0	0	0	-1.6015625
0	0	0	-1.5625
0	0	0	-1.5234375
0	0	0	-1.484375
0	0	0	-1.4453125
0	0	0	-1.40625
0	0	0	-1.3671875
0	0	0	-1.328125
0	0	0	-1.2890625
0	0	0	-1.25
0	0	0	-1.2109375
0	0	0	-1.171875
0	0	0	-1.1328125
0	0	0	-1.09375
0	0	0	-1.0546875
0	0	0	-1.015625
0	0	0	-0.9765625
0	0	0	-0.9375
0	0	0	-0.8984375
0	0	0	-0.859375
0	0	0	-0.8203125
0	0	0	-0.78125
0	0	0	-0.7421875
0	0	0	-0.703125
0	0	0	-0.6640625
0	0	0	-0.625
0	0	0	-0.5859375
0	0	0	-0.546875
0	0	0	-0.5078125
0	0	0	-0.46875
0	0	0	-0.4296875
0	0	0	-0.390625
0	0	0	-0.3515625
0	0	0	-0.3125
0	0	0	-0.2734375
0	0	0	-0.234375
0	0	0	-0.1953125
0	0	0	-0.15625
0	0	0	-0.1171875
0	0	0	-0.078125
0	0	0	-0.0390625
