//Z_rotation	Y'_rotation	Z''_rotation1	Defocus1	Z''_rotation2	Defocus2
//phi=360.0*rand()	theta=180/PI()*ACOS(2*RAND()-1)	psi=360.0*rand()	dz=5 + 10 * RAND()	psi=360.0*rand()	dz=5 + 10 * RAND()
210.3017952	118.8893298	80.08490903	13.33634578	176.5432784	6.354103378
127.0459926	87.12064076	153.9419049	12.90551683	244.7745325	14.91132998
179.549037	106.225163	247.727626	5.490010829	41.78834561	10.19930436
130.2958704	67.31680428	211.8170528	11.28358009	245.0781304	8.068614215
33.61970266	82.60859084	105.2630723	14.82435809	17.26493276	11.64630038
287.0702509	78.81254737	260.4757156	12.38417032	19.947687	12.17408249
17.20332392	39.10817188	340.2027658	13.4406077	223.4145881	14.41369921
103.9402942	112.8563836	74.28731811	5.946372208	147.8774108	7.333172603
322.6980246	86.4628333	306.4741868	14.1068003	124.6324838	14.55971327
222.4472969	93.62214314	235.6016047	5.213652284	186.5329124	9.796244771
73.53458361	81.1837011	28.33223748	11.69451958	209.781815	13.16270451
93.48398665	135.3035993	233.4733204	11.66935309	12.22240964	8.983396898
338.1828617	11.97087172	215.5647684	11.87176448	280.5381571	13.38322699
298.471134	21.92108152	11.82224354	12.97676957	66.75230934	7.60596097
351.7801959	17.98042371	84.34516185	6.926413297	204.6254998	7.863899104
336.98174	56.15569191	297.0401776	8.274837869	240.2863181	5.318652485
104.7561628	156.7489618	204.2110554	5.969362413	192.1612649	5.152947051
320.7512552	37.79222599	229.821353	7.677134591	138.8134974	5.653673374
211.7477596	74.10144964	294.5446708	13.07485041	216.8889424	5.353358113
97.93051527	171.6606342	116.5740917	14.66758154	24.93078001	10.4298009
337.3006201	121.9369362	335.1702814	13.90520655	254.5964536	6.906636047
329.2317644	115.5584117	347.2010317	7.284898504	91.16399391	7.880705077
118.7718926	109.908065	266.7383233	14.15698587	111.3803175	14.68344516
17.27093619	75.47714774	162.5332208	11.05602144	164.4936506	13.35293259
105.589463	69.49818087	5.986961005	13.28943361	291.7479571	9.135809193
26.33453228	55.59919887	151.8444864	14.63163929	179.0110214	8.610929739
226.8421305	44.57876763	327.377793	12.06763304	65.08418005	14.32346265
254.9900341	113.2012581	227.5844633	12.32237806	178.7439283	10.43573554
88.45039203	97.79836744	320.0393452	9.752778753	132.2573784	13.07441256
225.0262606	83.75586641	348.8162832	7.557710079	269.7272055	9.431479422
99.02367843	48.17503537	339.2948205	13.86791515	323.7964379	11.80892586
57.98134362	55.51775091	220.8985312	12.97305893	114.9125994	8.837652304
87.18555879	94.3916978	100.1194627	8.023866223	208.5989341	6.559990735
334.4839615	92.89296254	118.7159993	6.039821572	279.1060831	8.039050704
207.4420973	84.37947991	130.3661889	9.733871546	198.3898599	7.75138489
186.9210105	116.8709309	12.84744355	11.79216791	190.3513204	8.208836874
273.876635	112.7542494	231.0932054	9.643392584	34.47869726	11.4969325
59.57369293	115.1315726	125.5485872	11.08456152	255.8115469	12.58360894
123.9682479	28.24157231	202.8793998	11.67396205	334.5555686	7.616271574
29.55262652	77.14823526	316.8062265	13.14249798	330.3475903	10.31087066
132.1465514	102.0665368	135.6262849	12.06113918	74.02593161	13.09572506
219.1317333	91.34606821	240.5446147	9.709877151	221.3269772	5.450631395
331.507525	109.4728873	218.571345	7.656276836	307.9931616	11.91381059
181.2630308	34.04251619	179.8805828	9.664083172	147.6987337	6.085903779
85.67514574	141.6471842	292.5229373	12.66121092	241.1572103	14.21890287
111.3029921	125.2417869	32.95947247	6.988918579	199.6054028	7.002388059
346.6424261	87.39826397	336.9914941	6.41591249	141.7064112	13.00511734
124.9547048	175.1259745	52.81455061	5.032929527	97.19953084	10.46289356
248.6724014	80.74510179	53.18652394	8.871723316	117.4923888	10.54068135
295.0754129	111.0304359	102.2256948	13.50828567	355.3757713	11.27307694
340.2827912	56.2216405	238.7698791	9.190743589	127.0271712	6.303374159
305.7563361	112.1005172	195.0710489	13.05710959	28.20971835	12.69599864
64.24372751	77.63842305	170.2750242	8.528500018	130.2556883	9.087107618
272.5430843	97.06021816	349.9065831	6.373289551	94.6268923	6.34820736
75.85935678	77.59580351	278.5651799	6.901111643	296.1794013	13.58713596
3.038845542	39.7880446	143.2836248	9.797775414	333.3174064	13.14373622
129.5202376	109.8369345	191.7021588	13.56384007	85.07369022	12.84731051
24.81588744	72.32897015	332.4161913	7.42462005	67.23584951	11.11436649
303.384231	140.1337351	198.7027616	10.64156549	290.9189652	5.360649332
214.1964897	132.2408155	193.0551353	11.21771283	103.3469516	7.132589811
97.58265164	47.66753699	336.3713494	13.84488964	3.49976304	12.22335391
34.4445919	29.34854215	277.0889967	6.300885794	60.30088276	7.146087753
276.1420062	170.1712349	349.8216157	9.211153124	239.5199719	8.191325177
217.5410563	78.77008124	277.288028	8.762960576	209.4311174	11.73697102
5.968587494	61.20313194	155.5401287	13.0986173	288.0264742	7.924732943
5.151805457	69.08278514	320.0825723	10.33830307	146.6921543	6.459829976
62.55753105	135.1106328	87.78938115	11.22975195	154.7743415	14.70439377
242.0001083	18.40507045	4.667612819	12.14332519	110.4564805	9.259301829
120.4943803	49.86501375	93.52706792	6.327145399	70.73021504	13.01285913
195.4438078	41.4110245	233.8720578	12.35727317	318.9509022	10.46044114
113.9758694	153.1433291	281.6296725	10.28985995	227.8943692	14.08728418
166.5151998	119.2483521	123.4217322	10.68718183	118.8025536	5.024943107
281.2373555	66.59950967	297.4159133	14.45337368	299.4608009	13.31311696
221.0291236	23.07959279	240.1414102	12.85813528	88.46354104	13.2979233
251.4850865	61.63154918	55.8257597	12.33325828	234.3964718	8.653614406
180.3186812	66.67829948	269.2641996	9.242702741	307.4821777	7.364927767
178.5710462	20.28586425	345.8339916	5.455671025	93.37761604	5.933710117
341.7288442	99.66630332	235.7742806	9.867810206	96.0080221	6.993020294
69.79131559	161.1599793	288.7755622	13.61314385	266.0462315	6.495497571
124.6254767	81.13120093	216.129977	5.868812012	189.5142351	5.007299959
226.3004484	100.4396764	337.8467927	8.811272382	282.0962947	13.67338658
191.160932	67.20158436	129.7155694	5.002670891	175.7127084	11.65295745
